,WaterwayCode,WaterwayName,In/Out/Thru,CompletedYear,Trips
90,3315,"Rouge River, MI",Outbound Shipping,2014,167
91,3315,"Rouge River, MI",Outbound Shipping,2015,173
92,3315,"Rouge River, MI",Outbound Shipping,2016,165
93,3315,"Rouge River, MI",Outbound Shipping,2017,176
94,3315,"Rouge River, MI",Outbound Shipping,2018,171
95,3315,"Rouge River, MI",Outbound Shipping,2019,147
96,3315,"Rouge River, MI",Outbound Shipping,2020,141
97,3315,"Rouge River, MI",Outbound Shipping,2021,154
98,3315,"Rouge River, MI",Outbound Shipping,2022,157
99,3315,"Rouge River, MI",Outbound Shipping,2023,186
100,3736,"Gary, IN",Inbound Receiving,2014,199
101,3736,"Gary, IN",Inbound Receiving,2015,172
102,3736,"Gary, IN",Inbound Receiving,2016,159
103,3736,"Gary, IN",Inbound Receiving,2017,177
104,3736,"Gary, IN",Inbound Receiving,2018,201
105,3736,"Gary, IN",Inbound Receiving,2019,180
106,3736,"Gary, IN",Inbound Receiving,2020,160
107,3736,"Gary, IN",Inbound Receiving,2021,161
108,3736,"Gary, IN",Inbound Receiving,2022,188
109,3736,"Gary, IN",Inbound Receiving,2023,178
110,3736,"Gary, IN",Outbound Shipping,2014,192
111,3736,"Gary, IN",Outbound Shipping,2015,162
112,3736,"Gary, IN",Outbound Shipping,2016,141
113,3736,"Gary, IN",Outbound Shipping,2017,159
114,3736,"Gary, IN",Outbound Shipping,2018,197
115,3736,"Gary, IN",Outbound Shipping,2019,175
116,3736,"Gary, IN",Outbound Shipping,2020,145
117,3736,"Gary, IN",Outbound Shipping,2021,123
118,3736,"Gary, IN",Outbound Shipping,2022,143
119,3736,"Gary, IN",Outbound Shipping,2023,144
120,3738,"Indiana Harbor, IN",Inbound Receiving,2014,253
121,3738,"Indiana Harbor, IN",Inbound Receiving,2015,228
122,3738,"Indiana Harbor, IN",Inbound Receiving,2016,209
123,3738,"Indiana Harbor, IN",Inbound Receiving,2017,197
124,3738,"Indiana Harbor, IN",Inbound Receiving,2018,183
125,3738,"Indiana Harbor, IN",Inbound Receiving,2019,199
126,3738,"Indiana Harbor, IN",Inbound Receiving,2020,145
127,3738,"Indiana Harbor, IN",Inbound Receiving,2021,193
128,3738,"Indiana Harbor, IN",Inbound Receiving,2022,164
129,3738,"Indiana Harbor, IN",Inbound Receiving,2023,155
130,3738,"Indiana Harbor, IN",Outbound Shipping,2014,218
131,3738,"Indiana Harbor, IN",Outbound Shipping,2015,207
132,3738,"Indiana Harbor, IN",Outbound Shipping,2016,186
