WaterwayCode,WaterwayName,In/Out/Thru,CompletedYear,Trips
3315,"Rouge River, MI",Outbound Shipping,2023,43
3736,"Gary, IN",Inbound Receiving,2014,186
3736,"Gary, IN",Inbound Receiving,2015,150
3736,"Gary, IN",Inbound Receiving,2016,151
3736,"Gary, IN",Inbound Receiving,2017,165
3736,"Gary, IN",Inbound Receiving,2018,183
3736,"Gary, IN",Inbound Receiving,2019,163
3736,"Gary, IN",Inbound Receiving,2020,148
3736,"Gary, IN",Inbound Receiving,2021,149
3736,"Gary, IN",Inbound Receiving,2022,169
3736,"Gary, IN",Inbound Receiving,2023,155
3736,"Gary, IN",Outbound Shipping,2014,30
3736,"Gary, IN",Outbound Shipping,2015,26
3736,"Gary, IN",Outbound Shipping,2016,47
3736,"Gary, IN",Outbound Shipping,2017,40
3736,"Gary, IN",Outbound Shipping,2018,30
3736,"Gary, IN",Outbound Shipping,2019,13
3736,"Gary, IN",Outbound Shipping,2020,10
3736,"Gary, IN",Outbound Shipping,2021,5
3736,"Gary, IN",Outbound Shipping,2022,7
3736,"Gary, IN",Outbound Shipping,2023,8
3738,"Indiana Harbor, IN",Inbound Receiving,2014,237
3738,"Indiana Harbor, IN",Inbound Receiving,2015,212
3738,"Indiana Harbor, IN",Inbound Receiving,2016,194
3738,"Indiana Harbor, IN",Inbound Receiving,2017,173
3738,"Indiana Harbor, IN",Inbound Receiving,2018,159
3738,"Indiana Harbor, IN",Inbound Receiving,2019,166
3738,"Indiana Harbor, IN",Inbound Receiving,2020,117
3738,"Indiana Harbor, IN",Inbound Receiving,2021,155
3738,"Indiana Harbor, IN",Inbound Receiving,2022,123
3738,"Indiana Harbor, IN",Inbound Receiving,2023,90
3738,"Indiana Harbor, IN",Outbound Shipping,2014,31
3738,"Indiana Harbor, IN",Outbound Shipping,2015,29
3738,"Indiana Harbor, IN",Outbound Shipping,2016,42
3738,"Indiana Harbor, IN",Outbound Shipping,2017,23
3738,"Indiana Harbor, IN",Outbound Shipping,2018,28
3738,"Indiana Harbor, IN",Outbound Shipping,2019,45
3738,"Indiana Harbor, IN",Outbound Shipping,2020,21
3738,"Indiana Harbor, IN",Outbound Shipping,2021,60
3738,"Indiana Harbor, IN",Outbound Shipping,2022,61
3738,"Indiana Harbor, IN",Outbound Shipping,2023,49
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2014,124
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2015,113
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2016,109
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2017,120
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2018,119
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2019,128
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2020,91
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2021,138
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2022,95
3739,"Burns Waterway Harbor, IN",Inbound Receiving,2023,64
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2014,14
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2015,7
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2016,8
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2017,10
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2018,10
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2019,18
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2020,6
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2021,30
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2022,35
3739,"Burns Waterway Harbor, IN",Outbound Shipping,2023,40
