MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366972020,2021-07-23T00:43:01,46.72429,-92.15781,0.0,29.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:54:41,46.72429,-92.15782,0.0,116.2,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:55:51,46.7243,-92.15782,0.0,340.5,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:47:42,46.72429,-92.15781,0.0,121.5,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:52:21,46.72428,-92.15782,0.0,31.5,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:53:31,46.72429,-92.15781,0.0,28.2,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:59:22,46.72431,-92.15784,0.0,117.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:00:00,46.72431,-92.15783,0.0,118.5,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:02:32,46.72431,-92.15783,0.0,232.3,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:57:00,46.72429,-92.15782,0.0,320.0,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:58:11,46.7243,-92.15784,0.0,28.8,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:01:11,46.72431,-92.15783,0.0,96.1,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:07:10,46.72431,-92.15785,0.0,151.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:08:22,46.72431,-92.15783,0.0,138.4,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:04:50,46.7243,-92.15783,0.0,305.5,316.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:06:01,46.7243,-92.15784,0.0,141.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:15:21,46.7243,-92.15783,0.0,13.9,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:03:41,46.7243,-92.15783,0.0,292.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T00:25:31,46.72428,-92.15783,0.0,183.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:20:01,46.72429,-92.15784,0.0,218.5,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:09:30,46.7243,-92.15785,0.0,101.2,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:21:02,46.72429,-92.15783,0.0,203.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:17:41,46.72428,-92.15784,0.0,204.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:23:32,46.7243,-92.15782,0.0,231.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:13:02,46.72431,-92.15783,0.0,142.3,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:14:10,46.7243,-92.15783,0.0,132.4,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:11:52,46.7243,-92.15782,0.0,146.7,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:25:50,46.7243,-92.15783,0.0,289.5,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:30:32,46.72429,-92.15784,0.0,84.9,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:22:11,46.7243,-92.15783,0.0,226.2,315.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:24:41,46.7243,-92.15783,0.0,137.6,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
366972020,2021-07-23T01:27:01,46.72431,-92.15783,0.0,303.0,314.0,ARTHUR M ANDERSON,IMO5025691,WDH7563,70,0,233,21,8.0,70,A
